tempId,name,phone,addressRaw,floorGuess,source,matchMethod,notes
U001,이마트 에브리데이 잠원메이플자이점,,"서울특별시 서초구 잠원로4길 50",B1,portal,floor-name,호수 없음
U002,크린토피아 잠원 메이플자이점,,"서울특별시 서초구 잠원로4길 50",,portal,name-only,호수·전화 없음
U003,동경규동 메이플자이점,,"서울특별시 서초구 잠원로4길 50",,portal,name-only,호수 없음
U017,오공김밥,,"서울특별시 서초구 잠원로4길 50",,portal,name-only,당근에 주소만. 휴대폰은 공개 목록에 넣지 않음
U018,메이플자이 비발디음악학원,,"서울특별시 서초구 잠원로4길 50",,public,name-only,사업자 주소만
U019,최지연국어교습소,,"서울특별시 서초구 잠원로4길 50",,public,name-only,사업자 주소만
U004,메이플자이단지내태양공인중개사사무소,,"서울 서초구 잠원동",,portal,name-only,잠원로4길 50 미확인
U005,애프터,,"서울 서초구 잠원동",,portal,name-only,잠원로4길 50 미확인
U006,메이플자이경원공인중개사사무소,,"서울 서초구 잠원동",,portal,name-only,잠원로4길 50 미확인
U007,메이플당근공인중개사사무소,,"서울 서초구 잠원동",,portal,name-only,잠원로4길 50 미확인
U008,덕우공인중개사사무소,,"서울 서초구 잠원동",,portal,name-only,잠원로4길 50 미확인
U009,강남일등공인중개사사무소,,"서울 서초구 잠원동",,portal,name-only,잠원로4길 50 미확인
U010,반포대성공인중개사사무소,,"서울 서초구 잠원동",,portal,name-only,잠원로4길 50 미확인
U012,부동산올라공인중개사사무소,,"서울 서초구 잠원동",,portal,name-only,잠원로4길 50 미확인
U013,메이플리틀쇼팽음악학원,,"서울 서초구 잠원동",,portal,name-only,잠원로4길 50 미확인
U014,이렘아트스튜디오,,"서울 서초구 잠원동",,portal,name-only,잠원로4길 50 미확인
U015,그림담,,"서울 서초구 잠원동",,portal,name-only,잠원로4길 50 미확인
U016,상위권수학학원 잠원점,,"서울 서초구 잠원동",,portal,name-only,잠원로4길 50 미확인
